algorithm,access_pattern,cores, runtime test 0 [s]
sequential_two_lattice,collision,1,31.668631
sequential_two_lattice,stream,1,31.769798
sequential_two_lattice,bundle,1,31.740813
sequential_two_step,collision,1,31.015666
sequential_two_step,stream,1,31.132864
sequential_two_step,bundle,1,31.148873
sequential_swap,collision,1,31.850484
sequential_swap,stream,1,32.282628
sequential_swap,bundle,1,32.221133
sequential_shift,collision,1,31.521399
sequential_shift,stream,1,31.675909
sequential_shift,bundle,1,31.888931
parallel_two_lattice,collision,2,15.826604
parallel_two_lattice,collision,4,8.229293
parallel_two_lattice,collision,8,4.453704
parallel_two_lattice,collision,16,2.745065
parallel_two_lattice,collision,32,1.737866
parallel_two_lattice,collision,64,1.475383
parallel_two_lattice,stream,2,15.904614
parallel_two_lattice,stream,4,8.258085
parallel_two_lattice,stream,8,4.474918
parallel_two_lattice,stream,16,2.731875
parallel_two_lattice,stream,32,1.808655
parallel_two_lattice,stream,64,1.469216
parallel_two_lattice,bundle,2,15.801900
parallel_two_lattice,bundle,4,8.269962
parallel_two_lattice,bundle,8,4.491337
parallel_two_lattice,bundle,16,2.771147
parallel_two_lattice,bundle,32,1.749443
parallel_two_lattice,bundle,64,1.485234
parallel_two_lattice_framework,collision,2,15.700825
parallel_two_lattice_framework,collision,4,8.226120
parallel_two_lattice_framework,collision,8,4.554932
parallel_two_lattice_framework,collision,16,2.674737
parallel_two_lattice_framework,collision,32,1.842713
parallel_two_lattice_framework,collision,64,1.789270
parallel_two_lattice_framework,stream,2,15.913634
parallel_two_lattice_framework,stream,4,8.249837
parallel_two_lattice_framework,stream,8,4.487615
parallel_two_lattice_framework,stream,16,2.733635
parallel_two_lattice_framework,stream,32,1.801068
parallel_two_lattice_framework,stream,64,1.778562
parallel_two_lattice_framework,bundle,2,15.884567
parallel_two_lattice_framework,bundle,4,8.246326
parallel_two_lattice_framework,bundle,8,4.547431
parallel_two_lattice_framework,bundle,16,2.678213
parallel_two_lattice_framework,bundle,32,1.829583
parallel_two_lattice_framework,bundle,64,1.798780
parallel_two_step,collision,2,15.470286
parallel_two_step,collision,4,8.087930
parallel_two_step,collision,8,4.441604
parallel_two_step,collision,16,2.664987
parallel_two_step,collision,32,1.841508
parallel_two_step,collision,64,1.852636
parallel_two_step,stream,2,15.466221
parallel_two_step,stream,4,8.114420
parallel_two_step,stream,8,4.453978
parallel_two_step,stream,16,2.693510
parallel_two_step,stream,32,1.859245
parallel_two_step,stream,64,1.852551
parallel_two_step,bundle,2,15.540191
parallel_two_step,bundle,4,8.121620
parallel_two_step,bundle,8,4.522434
parallel_two_step,bundle,16,2.664111
parallel_two_step,bundle,32,1.851705
parallel_two_step,bundle,64,1.850463
parallel_swap,collision,2,16.007716
parallel_swap,collision,4,8.420316
parallel_swap,collision,8,4.611959
parallel_swap,collision,16,2.740938
parallel_swap,collision,32,1.913564
parallel_swap,collision,64,1.924604
parallel_swap,stream,2,16.126213
parallel_swap,stream,4,8.421740
parallel_swap,stream,8,4.648153
parallel_swap,stream,16,2.727169
parallel_swap,stream,32,1.911677
parallel_swap,stream,64,1.929769
parallel_swap,bundle,2,16.227676
parallel_swap,bundle,4,8.503673
parallel_swap,bundle,8,4.613185
parallel_swap,bundle,16,2.751760
parallel_swap,bundle,32,1.923291
parallel_swap,bundle,64,1.947979
parallel_shift,collision,2,15.352684
parallel_shift,collision,4,7.944133
parallel_shift,collision,8,4.306452
parallel_shift,collision,16,2.545819
parallel_shift,collision,32,1.707012
parallel_shift,collision,64,1.667898
parallel_shift,stream,2,15.278409
parallel_shift,stream,4,7.911499
parallel_shift,stream,8,4.323065
parallel_shift,stream,16,2.622789
parallel_shift,stream,32,1.707303
parallel_shift,stream,64,1.674168
parallel_shift,bundle,2,15.288538
parallel_shift,bundle,4,7.937808
parallel_shift,bundle,8,4.478097
parallel_shift,bundle,16,2.511246
parallel_shift,bundle,32,1.713978
parallel_shift,bundle,64,1.682205
